lease_id,asset_id,lessee,region,start_date,end_date,term_months,monthly_rent,status,termination_date
LSE-00114,AST-0366,Taylor and Sons,Middle East,2022-03-05,2023-02-28,12,5587.33,Active,
LSE-00115,AST-0132,"Craig, Sanders and Singleton",APAC,2025-11-02,2029-10-12,48,10021.44,Active,
LSE-00116,AST-0139,Gibbs Inc,Middle East,2024-05-07,2029-04-11,60,1756.11,Terminated,2025-04-13
LSE-00117,AST-0380,Gibson Ltd,LATAM,2022-11-28,2027-11-02,60,1083.8,Active,
LSE-00118,AST-0464,Richards-Carson,APAC,2025-04-17,2030-03-22,60,3177.62,Active,
LSE-00119,AST-0052,Leonard Group,APAC,2026-03-26,2030-03-05,48,5932.64,Active,
LSE-00120,AST-0349,"Murphy, Bishop and Holland",LATAM,2021-09-24,2023-09-14,24,6829.05,Active,
LSE-00121,AST-0476,Blankenship-Turner,EMEA,2024-09-25,2026-09-15,24,11252.87,Active,
LSE-00122,AST-0450,Williams Inc,Middle East,2023-08-14,2027-07-24,48,2793.74,Active,
LSE-00123,AST-0494,Wilson-Young,EMEA,2023-02-08,2026-01-23,36,7927.83,Active,
LSE-00124,AST-0465,Chavez-Santiago,EMEA,2024-04-02,2025-03-28,12,6654.25,Terminated,2024-09-27
LSE-00125,AST-0371,"Barnes, Newton and Moore",EMEA,2025-04-06,2026-04-01,12,2513.24,Expired,
LSE-00126,AST-0452,Bass PLC,North America,2023-08-26,2025-08-15,24,917.91,Expired,
LSE-00127,AST-0429,Johnson-Wood,Middle East,2023-08-13,2027-07-23,48,2642.58,Expired,
LSE-00128,AST-0384,Foley Inc,LATAM,2023-10-16,2026-09-30,36,606.57,Expired,
LSE-00129,AST-0291,Stephens-Levine,LATAM,2026-06-07,2031-05-12,60,11804.43,Active,
LSE-00130,AST-0146,Hill-Donaldson,EMEA,2023-05-17,2027-04-26,48,6747.96,Expired,
LSE-00131,AST-0253,Davis-Lewis,North America,2026-04-11,2028-03-31,24,5882.24,Expired,
LSE-00132,AST-0099,Williams LLC,EMEA,2024-10-02,2025-09-27,12,8907.87,Active,
LSE-00133,AST-0332,Buchanan and Sons,North America,2022-10-22,2025-10-06,36,8971.11,Terminated,2023-01-04
LSE-00134,AST-0405,"Clark, Robinson and Kane",APAC,2021-12-12,2024-11-26,36,2721.35,Terminated,2024-03-26
LSE-00135,AST-0313,Kramer PLC,EMEA,2023-03-24,2027-03-03,48,6425.73,Expired,
LSE-00136,AST-0045,Huerta PLC,North America,2021-08-16,2025-07-26,48,11789.38,Terminated,2022-10-28
LSE-00137,AST-0245,Rodriguez Inc,Middle East,2022-11-04,2025-10-19,36,578.55,Expired,
LSE-00138,AST-0197,Tyler-Young,APAC,2022-04-04,2024-03-24,24,3570.43,Active,
LSE-00139,AST-0169,Baker and Sons,APAC,2023-03-15,2026-02-27,36,631.51,Terminated,2024-12-20
LSE-00140,AST-0335,"Wilson, Brown and West",Middle East,2025-04-04,2028-03-19,36,8179.54,Terminated,2025-08-05
LSE-00141,AST-0239,"Rodriguez, Gordon and Dougherty",Middle East,2023-05-23,2026-05-07,36,8389.85,Active,
LSE-00142,AST-0473,"Boyd, Ellis and Maynard",Middle East,2021-10-27,2024-10-11,36,11035.5,Terminated,2023-10-11
LSE-00143,AST-0152,Boone-Simmons,EMEA,2021-11-28,2024-11-12,36,11509.65,Terminated,2022-09-08
LSE-00144,AST-0245,"Browning, Jones and Miller",Middle East,2022-02-20,2024-02-10,24,11871.64,Active,
LSE-00145,AST-0192,Martinez PLC,Middle East,2024-08-07,2028-07-17,48,9209.53,Terminated,2027-05-28
LSE-00146,AST-0411,"Joseph, James and Harper",Middle East,2024-09-21,2026-09-11,24,8323.93,Expired,
LSE-00147,AST-0306,"Jacobs, Garcia and Miles",EMEA,2023-01-22,2024-01-17,12,6573.99,Active,
LSE-00148,AST-0186,"Rich, Arnold and Glenn",EMEA,2025-10-20,2026-10-15,12,1790.4,Expired,
LSE-00149,AST-0425,Gutierrez Group,LATAM,2023-09-22,2028-08-26,60,2824.8,Expired,
LSE-00150,AST-0275,"Davis, Simmons and Ortega",LATAM,2023-07-28,2025-07-17,24,10326.59,Active,
LSE-00151,AST-0227,Mcdaniel Group,North America,2023-06-14,2024-06-08,12,1545.83,Terminated,2024-04-19
LSE-00152,AST-0262,Davis Inc,APAC,2021-12-09,2025-11-18,48,5714.47,Expired,
LSE-00153,AST-9328,Cain-Hawkins,LATAM,2025-04-09,2029-03-19,48,1163.97,Active,
LSE-00154,AST-0237,"Hoffman, Santiago and Jenkins",North America,2024-06-29,2027-06-14,36,3426.26,Terminated,2025-10-07
LSE-00155,AST-0002,Parrish-Griffith,North America,2025-11-26,2027-11-16,24,5372.52,Terminated,2026-03-12
LSE-00156,AST-0359,"Edwards, Garcia and Romero",Middle East,2026-05-16,2027-05-11,12,1192.94,Active,
LSE-00157,AST-0458,Walker-Rodriguez,Middle East,2022-05-15,2023-05-10,12,5928.82,Expired,
LSE-00158,AST-0147,Wilson-Ramirez,LATAM,2025-10-07,2029-09-16,48,2057.43,Active,
LSE-00159,AST-0329,Bruce-Villegas,EMEA,2022-09-21,2026-08-31,48,10750.34,Active,
LSE-00160,AST-0230,"Leonard, Hawkins and Lynch",LATAM,2025-08-19,2029-07-29,48,8351.4,Active,
LSE-00161,AST-9284,"Adams, White and Park",EMEA,2024-11-04,2029-10-09,60,10393.3,Active,
LSE-00162,AST-0061,Bell-White,EMEA,2023-02-16,2025-02-05,24,5020.17,Expired,
LSE-00163,AST-0066,"Morales, Thomas and Schultz",North America,2022-04-25,2024-04-14,24,9196.06,Expired,
LSE-00164,AST-0153,"Moreno, Bennett and Chavez",North America,2021-10-05,2025-09-14,48,5377.47,Terminated,2024-12-23
LSE-00165,AST-0195,Griffith-Frank,North America,2022-05-20,2024-05-09,24,4480.84,Active,
LSE-00166,AST-0142,Ware and Sons,Middle East,2024-05-26,2026-05-16,24,8837.78,Expired,
LSE-00167,AST-0058,"Williams, Miller and Ramos",APAC,2022-05-20,2023-05-15,12,5321.27,Expired,
LSE-00168,AST-0393,"Ramos, Nelson and Fischer",North America,2023-09-11,2024-09-05,12,1273.85,Active,
LSE-00169,AST-0305,Rodriguez-Gregory,EMEA,2022-03-03,2023-02-26,12,8228.27,Active,
LSE-00170,AST-0447,"Estrada, Williams and Foster",APAC,2024-07-11,2025-07-06,12,1008.72,Active,
LSE-00171,AST-0225,Harris and Sons,North America,2024-07-22,2026-07-12,24,9175.44,Active,
LSE-00172,AST-0398,Roberts-Wilson,APAC,2025-05-20,2026-05-15,12,11925.06,Active,
LSE-00173,AST-0120,Thompson-James,EMEA,2024-01-21,2028-12-25,60,7376.05,Active,
LSE-00174,AST-0345,"Hansen, Barnett and Gomez",North America,2025-01-25,2028-01-10,36,10576.97,Active,
LSE-00175,AST-0339,"Williams, Smith and Morse",EMEA,2023-07-25,2028-06-28,60,3955.76,Active,
LSE-00176,AST-0032,"Patterson, Sullivan and Bowman",Middle East,2025-11-06,2030-10-11,60,10616.71,Expired,
LSE-00177,AST-0467,Smith-Nguyen,APAC,2023-01-12,2025-01-01,24,6892.28,Terminated,2024-05-23
LSE-00178,AST-0025,"Stevens, Norris and Cox",APAC,2025-07-20,2028-07-04,36,8220.44,Expired,
LSE-00179,AST-0403,Sanchez PLC,Middle East,2023-10-04,2028-09-07,60,5287.73,Active,
LSE-00180,AST-0077,Foster LLC,EMEA,2023-07-31,2026-07-15,36,9175.79,Active,
LSE-00181,AST-0243,Cook and Sons,EMEA,2025-04-11,2027-04-01,24,3958.47,Expired,
LSE-00182,AST-0363,"Wilson, Hicks and Bullock",North America,2021-12-26,2023-12-16,24,11019.52,Expired,
LSE-00183,AST-0288,"Mullen, Brewer and Hernandez",Middle East,2023-04-30,2027-04-09,48,6908.8,Expired,
LSE-00184,AST-0069,Gonzalez-Morrison,North America,2022-02-11,2026-01-21,48,2838.37,Active,
LSE-00185,AST-0332,"Jones, Bean and Burton",North America,2025-05-07,2026-05-02,12,10242.03,Expired,
LSE-00186,AST-0048,"Wolf, Cole and Glass",Middle East,2023-11-22,2028-10-26,60,1092.67,Terminated,2025-02-14
LSE-00187,AST-0194,"Downs, Morris and Maddox",North America,2024-05-20,2029-04-24,60,2663.88,Terminated,2024-12-15
LSE-00188,AST-0390,Jones-Ramos,LATAM,2023-03-01,2028-02-03,60,2995.69,Terminated,2026-06-17
LSE-00189,AST-0107,Vargas-Bell,Middle East,2023-02-05,2026-01-20,36,10953.43,Active,
LSE-00190,AST-0109,Hayes-Brown,North America,2021-12-22,2023-12-12,24,1849.14,Expired,
LSE-00191,AST-0387,Newman Inc,Middle East,2025-09-12,2029-08-22,48,8499.7,Expired,
LSE-00192,AST-0361,"Cruz, Carpenter and Best",North America,2024-08-19,2026-08-09,24,3252.31,Active,
LSE-00193,AST-0165,Cole PLC,LATAM,2025-03-30,2028-03-14,36,6636.98,Active,
LSE-00194,AST-0184,Jacobs-Mason,North America,2024-10-24,2027-10-09,36,6397.39,Active,
LSE-00195,AST-0255,Garcia-Nolan,LATAM,2026-04-27,2030-04-06,48,11785.16,Active,
LSE-00196,AST-0241,"Miller, Lucas and Williams",APAC,2023-04-19,2026-04-03,36,4763.11,Expired,
LSE-00197,AST-0212,Warren-Bishop,North America,2025-02-01,2026-01-27,12,9024.4,Terminated,2025-07-24
LSE-00198,AST-0009,Hughes-Schroeder,EMEA,2023-05-26,2026-05-10,36,7160.14,Terminated,2025-03-14
LSE-00199,AST-0214,Mccormick Ltd,LATAM,2024-12-12,2027-11-27,36,4293.45,Active,
LSE-00200,AST-0195,Davis-Gregory,North America,2023-04-04,2028-03-08,60,6241.97,Expired,
LSE-00201,AST-0336,"York, Brandt and Morrison",EMEA,2023-01-03,2025-12-18,36,9948.31,Active,
LSE-00202,AST-0495,Aguilar and Sons,LATAM,2022-05-08,2026-04-17,48,8926.88,Active,
LSE-00203,AST-0181,Ponce-Hale,APAC,2026-02-12,2028-02-02,24,6785.28,Active,
LSE-00204,AST-0095,"Fletcher, Miller and Hansen",Middle East,2023-07-15,2028-06-18,60,11508.22,Expired,
LSE-00205,AST-0269,Li-Santiago,APAC,2024-10-09,2025-10-04,12,1354.8,Expired,
LSE-00206,AST-0419,"Osborn, Gaines and Davis",North America,2025-09-07,2026-09-02,12,5242.51,Expired,
LSE-00207,AST-0432,"Cox, Cox and White",Middle East,2024-11-27,2026-11-17,24,2236.84,Active,
LSE-00208,AST-0112,Lee-Cooke,Middle East,2022-08-30,2027-08-04,60,1195.18,Active,
LSE-00209,AST-0327,Richard-Garcia,EMEA,2022-05-16,2027-04-20,60,8081.77,Expired,
LSE-00210,AST-0009,"Stephenson, Johnson and Rogers",EMEA,2025-05-26,2026-05-21,12,5230.39,Active,
LSE-00211,AST-0009,Harper and Sons,EMEA,2025-05-18,2030-04-22,60,11741.01,Terminated,2028-07-18
LSE-00212,AST-0009,"Wise, Lamb and Martin",EMEA,2022-05-29,2027-05-03,60,8251.38,Expired,
LSE-00213,AST-0413,Diaz-Ball,North America,2023-10-06,2025-09-25,24,1607.61,Active,
LSE-00214,AST-0077,"Mitchell, Goodman and Cole",EMEA,2026-05-18,2028-05-07,24,6554.24,Active,
LSE-00215,AST-0418,Sheppard-Mueller,North America,2024-03-27,2027-03-12,36,5064.31,Active,
LSE-00216,AST-0192,Richardson PLC,Middle East,2026-01-20,2029-12-30,48,3296.89,Active,
LSE-00217,AST-0357,Hammond-Strickland,LATAM,2026-06-14,2028-06-03,24,10022.71,Active,
LSE-00218,AST-0042,Burch-Montoya,EMEA,2024-01-31,2025-01-25,12,4861.54,Active,
LSE-00219,AST-0283,Salas Inc,LATAM,2025-07-20,2029-06-29,48,608.68,Active,
LSE-00220,AST-0088,Spencer-Garcia,APAC,2024-10-05,2025-09-30,12,5489.96,Active,
LSE-00221,AST-0402,Mitchell and Sons,LATAM,2025-10-08,2028-09-22,36,11699.16,Terminated,2028-05-03
LSE-00222,AST-0459,"Hernandez, Kim and Potts",North America,2022-12-13,2027-11-17,60,3142.31,Expired,
LSE-00223,AST-0462,Wilkerson-Arias,APAC,2022-09-13,2027-08-18,60,1035.46,Active,
LSE-00224,AST-0039,Shaw-Young,EMEA,2023-08-26,2026-08-10,36,6980.36,Expired,
LSE-00225,AST-0017,Walker-Flores,North America,2026-07-02,2028-06-21,24,4116.57,Expired,
LSE-00226,AST-0493,"Santos, Moody and Taylor",North America,2022-02-04,2024-01-25,24,11182.06,Terminated,2023-05-17
LSE-00227,AST-0154,Horton-Taylor,LATAM,2023-01-08,2024-12-28,24,10098.48,Terminated,2024-10-09
LSE-00228,AST-0200,Gilbert-Bullock,North America,2025-01-29,2030-01-03,60,9189.51,Active,
LSE-00229,AST-0072,Conley PLC,North America,2021-09-14,2022-09-09,12,11704.72,Active,
LSE-00230,AST-0028,"Rose, Rodriguez and Roberts",LATAM,2026-03-26,2027-03-21,12,10144.76,Active,
LSE-00231,AST-0175,Allen Ltd,LATAM,2023-02-02,2028-01-07,60,11480.87,Expired,
LSE-00232,AST-0204,Brown-Copeland,LATAM,2025-07-06,2028-06-20,36,3643.26,Active,
LSE-00233,AST-0231,"Smith, Robertson and Allen",Middle East,2024-01-25,2028-01-04,48,6859.93,Active,
LSE-00234,AST-0193,Smith-Gomez,LATAM,2022-04-25,2026-04-04,48,7237.56,Active,
LSE-00235,AST-0195,Beck Inc,North America,2024-05-31,2025-05-26,12,3896.86,Expired,
LSE-00236,AST-0127,Jones-Fox,APAC,2024-03-08,2025-03-03,12,2273.54,Active,
LSE-00237,AST-0365,"Spencer, Myers and Harrison",North America,2024-02-08,2026-01-28,24,4648.05,Terminated,2025-02-26
LSE-00238,AST-0047,King-Smith,North America,2024-09-25,2025-09-20,12,5614.46,Expired,
LSE-00239,AST-0390,Allen-Sandoval,LATAM,2025-06-27,2028-06-11,36,1503.92,Active,
LSE-00240,AST-0221,"Moss, Cook and Williams",APAC,2022-02-13,2026-01-23,48,5192.51,Terminated,2025-02-26
LSE-00241,AST-0014,"Thompson, Maxwell and Marshall",EMEA,2024-04-17,2025-04-12,12,1570.24,Active,
LSE-00242,AST-0307,"White, Taylor and Baldwin",North America,2025-01-10,2027-12-26,36,641.92,Expired,
LSE-00243,AST-0212,Carter Inc,North America,2026-04-01,2030-03-11,48,8835.7,Expired,
LSE-00244,AST-0287,Stewart LLC,North America,2025-07-01,2027-06-21,24,8381.13,Terminated,2026-02-19
LSE-00245,AST-0087,"Kennedy, Johnson and Lucas",EMEA,2024-02-22,2026-02-11,24,3586.68,Active,
LSE-00246,AST-0075,Glenn LLC,APAC,2023-01-06,2024-01-01,12,3673.56,Active,
LSE-00247,AST-0154,Kim-Ross,LATAM,2022-12-14,2026-11-23,48,4652.94,Expired,
LSE-00248,AST-0484,Morgan-Lopez,APAC,2023-10-09,2025-09-28,24,7328.77,Terminated,2025-04-28
LSE-00249,AST-0101,Glass-Stone,North America,2025-01-04,2028-12-14,48,4003.57,Active,
LSE-00250,AST-0486,"Coleman, Jordan and Carney",North America,2025-07-19,2029-06-28,48,7632.21,Active,
LSE-00251,AST-0412,Morris-Miller,EMEA,2022-07-01,2025-06-15,36,5452.09,Active,
LSE-00252,AST-0422,Griffin-Robbins,LATAM,2024-11-10,2029-10-15,60,4187.65,Active,
