asset_id,asset_type,region,acquisition_date,acquisition_value,book_value
AST-0039,Office Fitout,EMEA,2025-01-27,108146.06,94824.84
AST-0040,Generator,Middle East,2022-12-10,393859.29,278097.03
AST-0041,Forklift,APAC,2023-11-23,651238.44,509500.41
AST-0042,Crane,EMEA,2018-12-15,717793.91,277756.74
AST-0043,Delivery Van,Middle East,2020-04-27,327218.07,162407.74
AST-0044,Excavator,Middle East,2020-10-12,811172.29,432477.06
AST-0045,Excavator,North America,2019-03-18,285670.31,116365.65
AST-0046,Generator,EMEA,2020-05-10,790797.34,394748.7
AST-0047,Forklift,North America,2019-05-15,63367.51,26617.83
AST-0048,Forklift,Middle East,2020-09-11,626142.84,329574.14
AST-0049,Delivery Van,LATAM,2023-05-19,654471.75,485062.19
AST-0050,Delivery Van,APAC,2021-05-07,805618.65,466066.94
AST-0051,Office Fitout,EMEA,2021-05-21,455607.61,264976.39
AST-0052,Crane,APAC,2020-03-07,790642.77,383580.88
AST-0053,Server Rack,LATAM,2020-08-12,348158.57,180966.15
AST-0054,Fleet Truck,North America,2025-08-20,766177.76,706226.97
AST-0055,Forklift,APAC,2023-06-21,222001.19,166142.04
AST-0056,Crane,Middle East,2023-03-07,32563.61,23613.52
AST-0057,Forklift,North America,2019-11-23,198881.52,91910.51
AST-0058,Excavator,APAC,2024-01-30,206166.39,164368.27
AST-0059,Crane,APAC,2019-11-02,74165.89,33933.43
AST-0060,Crane,Middle East,2021-06-16,573596.44,336866.12
AST-0061,Fleet Truck,EMEA,2026-01-12,125480.39,119649.85
AST-0062,Office Fitout,EMEA,2023-05-30,670157.22,498303.2
AST-0063,Office Fitout,APAC,2022-10-15,93762.04,65052.87
AST-0064,Fleet Truck,North America,2023-09-30,368688.15,284081.8
AST-0065,Forklift,North America,2024-12-06,577259.4,499574.52
AST-0066,Server Rack,North America,2024-06-06,351188.77,289841.38
AST-0067,Crane,Middle East,2020-04-30,222628.04,110643.09
AST-0068,Office Fitout,EMEA,2018-11-07,389592.31,147511.39
AST-0069,Crane,North America,2020-12-23,247585.2,135907.32
AST-0070,Forklift,North America,2020-08-14,385014.17,200291.76
AST-0071,Excavator,North America,2020-03-11,559540.99,271952.25
AST-0072,Crane,EMEA,2025-09-06,788516.43,729755.75
AST-0073,Fleet Truck,EMEA,2025-03-08,354355.74,313813.56
AST-0074,Excavator,EMEA,2020-12-20,736983.08,404068.64
AST-0075,Office Fitout,APAC,2023-07-12,331442.55,249571.7
AST-0076,Fleet Truck,APAC,2021-07-30,788642.59,470765.61
AST-0077,Fleet Truck,EMEA,2025-06-20,368211.25,334477.05
AST-0078,Crane,North America,2022-01-19,173564.72,110187.44
AST-0079,Excavator,APAC,2020-08-06,498615.54,258515.08
AST-0080,Fleet Truck,Middle East,2020-06-17,62733.0,31837.43
AST-0081,Delivery Van,North America,2022-10-27,782688.25,545094.12
AST-0082,Forklift,EMEA,2020-07-31,817250.38,422641.59
AST-0083,Forklift,EMEA,2022-12-30,72215.31,51306.5
AST-0084,Crane,Middle East,2025-05-06,352152.59,316416.34
AST-0085,Forklift,LATAM,2021-08-09,511423.49,306405.72
AST-0086,Server Rack,APAC,2020-04-03,563906.59,276916.76
AST-0087,Server Rack,EMEA,2026-02-03,185556.43,177829.15
AST-0088,Delivery Van,APAC,2022-06-07,236788.12,157538.7
AST-0089,Forklift,North America,2019-04-18,396782.52,164322.32
AST-0090,Forklift,North America,2018-12-19,397668.41,154229.97
AST-0091,Generator,EMEA,2019-06-08,463924.73,197314.18
AST-0092,Forklift,EMEA,2023-04-26,794271.58,584670.93
AST-0093,Delivery Van,LATAM,2024-07-20,323555.12,270155.23
AST-0094,Generator,Middle East,2021-10-11,711177.04,435902.81
AST-0095,Excavator,Middle East,2019-02-02,836517.51,332681.87
AST-0096,Forklift,EMEA,2021-06-22,264981.26,155968.7
AST-0097,Forklift,Middle East,2026-01-30,235829.04,225801.46
AST-0098,Generator,Middle East,2022-07-31,144799.0,98050.74
AST-0099,Server Rack,EMEA,2025-11-22,190875.76,179872.95
AST-0100,Generator,Middle East,2025-01-24,589060.1,516113.48
AST-0101,Excavator,North America,2018-09-12,422924.1,154940.85
AST-0102,Generator,North America,2024-01-07,544627.51,431464.36
AST-0103,Delivery Van,APAC,2023-09-22,17960.65,13807.56
AST-0104,Fleet Truck,Middle East,2022-08-21,149920.95,102209.12
AST-0105,Excavator,North America,2020-08-11,604232.32,313935.94
AST-0106,Delivery Van,Middle East,2023-06-02,77828.62,57921.55
AST-0107,Server Rack,Middle East,2019-06-13,45083.5,19224.1
AST-0108,Office Fitout,EMEA,2021-11-14,476358.46,295524.96
AST-0109,Server Rack,North America,2022-01-05,49927.1,31542.98
AST-0110,Crane,EMEA,2025-10-06,765602.07,713583.08
AST-0111,Server Rack,Middle East,2025-03-06,571889.4,506208.29
AST-0112,Office Fitout,Middle East,2020-08-02,753252.48,389875.23
AST-0113,Crane,EMEA,2022-05-14,640813.81,422972.23
AST-0114,Delivery Van,LATAM,2019-12-14,830132.04,387455.6
AST-0115,Server Rack,LATAM,2025-06-15,35696.61,32387.09
AST-0116,Crane,APAC,2025-02-20,684866.34,604108.4
AST-0117,Forklift,LATAM,2020-11-06,147930.2,79679.66
AST-0118,Fleet Truck,EMEA,2023-05-28,743259.26,552333.26
AST-0119,Fleet Truck,APAC,2023-03-06,181643.31,131678.96
AST-0120,Crane,EMEA,2019-10-04,269834.37,121743.35
AST-0121,Crane,LATAM,2024-04-30,34759.8,28405.9
AST-0122,Forklift,APAC,2022-08-28,289098.73,197537.6
AST-0123,Office Fitout,Middle East,2024-06-13,308207.02,254840.76
AST-0124,Excavator,North America,2022-08-03,291510.14,197587.97
AST-0125,Generator,EMEA,2018-08-13,747327.07,268873.95
AST-0126,Generator,North America,2021-01-15,499792.43,276871.31
AST-0127,Office Fitout,APAC,2018-10-04,105516.13,39165.27
AST-0128,Server Rack,LATAM,2025-07-30,623335.13,571692.24
AST-0129,Forklift,LATAM,2025-03-14,521184.39,462240.58
AST-0130,Crane,APAC,2024-11-05,766086.45,657784.91
AST-0131,Office Fitout,North America,2020-12-01,52062.76,28327.85
AST-0132,Crane,APAC,2019-01-17,449133.49,177044.73
AST-0133,Server Rack,Middle East,2025-03-12,375133.33,332542.85
AST-0134,Forklift,APAC,2025-09-17,277119.56,257136.58
AST-0135,Office Fitout,APAC,2019-04-03,438447.29,180135.77
AST-0136,Generator,Middle East,2022-04-04,351004.32,228604.79
AST-0137,Office Fitout,LATAM,2019-02-17,121285.31,48633.75
AST-0138,Delivery Van,Middle East,2024-04-25,580560.48,473800.97
AST-0139,Office Fitout,Middle East,2024-05-09,490202.89,401563.46
AST-0140,Generator,APAC,2019-07-29,711160.52,310416.7
AST-0141,Server Rack,LATAM,2022-03-05,190502.54,122819.34
AST-0142,Crane,Middle East,2022-09-25,383891.32,264664.14
AST-0143,Delivery Van,North America,2020-08-06,410110.47,212628.23
AST-0144,Server Rack,North America,2025-02-25,251961.65,222527.01
AST-0145,Crane,APAC,2021-10-13,698383.59,428367.45
AST-0146,Crane,EMEA,2020-03-14,202574.96,98590.18
AST-0147,Crane,LATAM,2022-08-28,35395.2,24185.1
AST-0148,Forklift,LATAM,2024-02-01,525413.77,419121.84
AST-0149,Crane,LATAM,2020-02-13,361058.24,173347.52
AST-0150,Crane,EMEA,2020-12-12,427804.94,233804.19
AST-0151,Excavator,North America,2026-01-27,562808.44,538507.45
AST-0152,Crane,EMEA,2023-06-27,664981.04,498535.37
AST-0153,Fleet Truck,North America,2021-11-23,686431.73,427205.02
AST-0154,Forklift,LATAM,2022-06-29,480433.84,321956.49
AST-0155,Fleet Truck,Middle East,2019-07-09,126338.15,54591.93
AST-0156,Server Rack,LATAM,2020-04-18,839890.2,415204.9
AST-0157,Office Fitout,Middle East,2021-02-23,526564.69,296203.46
AST-0158,Delivery Van,LATAM,2023-01-09,387337.87,276039.25
AST-0159,Crane,APAC,2020-05-03,390808.25,194483.32
AST-0160,Fleet Truck,EMEA,2020-04-06,654454.43,321812.28
AST-0161,Forklift,APAC,2019-02-22,244288.87,98224.2
AST-0162,Server Rack,APAC,2023-05-06,210802.14,155635.51
AST-0163,Forklift,EMEA,2020-04-30,760677.41,378046.25
AST-0164,Office Fitout,EMEA,2025-05-26,140943.6,127258.56
AST-0165,Forklift,LATAM,2025-01-21,604859.98,529559.06
AST-0166,Fleet Truck,LATAM,2019-02-22,355345.47,142878.09
AST-0167,Office Fitout,LATAM,2020-05-24,66991.87,33646.44
AST-0168,Excavator,Middle East,2023-08-18,770540.13,586454.93
AST-0169,Excavator,APAC,2020-03-20,332618.16,162317.66
AST-0170,Office Fitout,LATAM,2019-08-09,264341.56,116020.6
AST-0171,Crane,LATAM,2025-08-17,464414.17,427769.98
AST-0172,Office Fitout,LATAM,2022-11-23,198217.06,139218.97
AST-0173,Server Rack,LATAM,2022-02-26,39235.72,25235.56
AST-0174,Fleet Truck,EMEA,2024-06-30,619691.45,514700.44
AST-0175,Excavator,LATAM,2024-08-31,833902.85,703951.09
AST-0176,Excavator,North America,2020-01-15,509230.47,241249.68
AST-0177,Delivery Van,LATAM,2019-05-04,551695.96,230412.42
AST-0178,Generator,LATAM,2021-11-04,166743.74,103079.61
AST-0179,Fleet Truck,APAC,2021-10-15,288339.48,176985.14
AST-0180,Office Fitout,APAC,2022-02-11,296812.96,189927.77
AST-0181,Office Fitout,APAC,2024-01-29,642928.2,512440.2
AST-0182,Fleet Truck,North America,2023-08-30,712150.61,543887.96
AST-0183,Excavator,APAC,2025-12-28,640435.26,608571.41
AST-0184,Forklift,North America,2019-05-08,202225.51,84635.53
AST-0185,Crane,EMEA,2021-08-18,644784.73,387577.45
AST-0186,Delivery Van,EMEA,2021-02-26,715756.09,403098.14
AST-0187,Forklift,Middle East,2025-01-27,120394.51,105564.55
AST-0188,Fleet Truck,APAC,2020-06-23,806377.11,410302.35
AST-0189,Delivery Van,Middle East,2020-01-14,655359.91,310335.36
AST-0190,Forklift,EMEA,2021-12-22,522051.66,328220.31
AST-0191,Forklift,Middle East,2021-10-10,820541.85,502756.11
AST-0192,Generator,Middle East,2020-09-12,36441.49,19189.19
AST-0193,Office Fitout,LATAM,2020-06-26,580584.98,295796.12
AST-0194,Crane,North America,2025-07-14,801127.95,731945.61
AST-0195,Crane,North America,2021-12-07,509401.71,318592.39
AST-0196,Generator,Middle East,2025-01-26,597156.16,523468.73
AST-0197,Excavator,APAC,2022-09-27,687615.85,474360.74
AST-0198,Server Rack,North America,2018-12-28,459842.28,179250.3
AST-0199,Server Rack,North America,2026-02-08,437477.26,419738.46
AST-0200,Fleet Truck,North America,2024-11-17,724395.65,623893.2
AST-0201,Server Rack,LATAM,2025-11-17,376992.04,354847.63
AST-0202,Office Fitout,EMEA,2025-07-23,605602.72,554499.81
AST-0203,Generator,Middle East,2024-12-22,627719.08,545444.89
AST-0204,Fleet Truck,LATAM,2019-11-10,689846.35,316837.92
AST-0205,Generator,APAC,2022-04-03,378704.7,246562.7
AST-0206,Forklift,APAC,2020-03-19,726180.49,354216.92
AST-0207,Crane,LATAM,2021-08-14,751162.04,450861.86
AST-0208,Office Fitout,APAC,2019-01-19,490824.45,193694.12
AST-0209,Server Rack,EMEA,2021-06-15,38964.5,22874.83
AST-0210,Server Rack,APAC,2025-12-31,422104.19,401380.61
AST-0211,Generator,Middle East,2020-08-07,299182.93,155181.68
AST-0212,Crane,North America,2024-06-28,23476.18,19488.45
AST-0213,Office Fitout,LATAM,2022-01-09,216532.3,136990.79
AST-0214,Crane,LATAM,2021-10-13,478572.14,293541.73
AST-0215,Fleet Truck,LATAM,2025-10-16,554328.92,517879.9
AST-0216,Forklift,APAC,2026-01-28,677098.94,648011.51
AST-0217,Crane,APAC,2022-10-12,200032.99,138653.0
AST-0218,Server Rack,LATAM,2023-12-31,569406.62,450221.23
AST-0219,Server Rack,LATAM,2019-10-09,477149.92,215802.49
AST-0220,Server Rack,APAC,2020-11-01,847187.27,455392.17
AST-0221,Generator,APAC,2025-11-16,601883.88,566397.47
AST-0222,Forklift,EMEA,2022-12-15,224922.07,159059.96
AST-0223,Delivery Van,EMEA,2022-09-05,278482.53,190771.98
AST-0224,Fleet Truck,APAC,2024-03-21,195681.17,158196.16
AST-0225,Generator,North America,2019-01-15,620028.48,244138.34
AST-0226,Generator,EMEA,2022-12-29,710244.68,504448.85
AST-0227,Generator,North America,2022-05-20,316335.69,209214.89
AST-0228,Delivery Van,APAC,2025-01-02,606195.44,528203.83
AST-0229,Excavator,Middle East,2019-10-17,53005.61,24066.0
AST-0230,Delivery Van,LATAM,2025-10-25,258934.1,242419.07
AST-0231,Excavator,Middle East,2019-03-19,100660.69,41025.44
AST-0232,Fleet Truck,LATAM,2020-01-02,252423.34,118867.19
AST-0233,Excavator,APAC,2023-01-27,299489.45,214614.96
AST-0234,Fleet Truck,North America,2023-09-04,800788.1,612460.29
AST-0235,Office Fitout,LATAM,2020-05-17,701466.56,351232.95
AST-0236,Excavator,EMEA,2019-07-06,76858.61,33160.81
AST-0237,Generator,North America,2025-04-15,139579.98,124773.03
AST-0238,Forklift,Middle East,2020-06-16,844921.63,428618.33
AST-0239,Crane,Middle East,2023-01-26,653310.28,468020.75
AST-0240,Fleet Truck,APAC,2023-04-04,332615.65,243237.72
AST-0241,Office Fitout,APAC,2021-10-03,733239.17,448139.71
AST-0242,Excavator,Middle East,2022-12-27,489805.61,347668.05
AST-0243,Forklift,EMEA,2022-07-13,816690.83,549800.74
AST-0244,Generator,North America,2025-08-15,537305.05,494673.94
AST-0245,Delivery Van,Middle East,2020-02-22,146142.67,70452.78
AST-0246,Excavator,LATAM,2023-12-25,77679.17,61317.6
AST-0247,Fleet Truck,APAC,2020-05-26,391170.59,196635.56
AST-0248,Generator,APAC,2021-07-31,42254.28,25232.17
AST-0249,Fleet Truck,North America,2023-08-25,601994.61,459099.23
AST-0250,Generator,Middle East,2020-11-10,588966.41,317751.41
AST-0251,Crane,LATAM,2020-12-25,567087.84,311540.97
AST-0252,Crane,EMEA,2024-04-01,110838.21,89873.09
AST-0253,Delivery Van,North America,2019-02-26,773523.56,311698.21
AST-0254,Generator,Middle East,2022-01-18,64797.76,41122.61
AST-0255,Generator,LATAM,2026-02-05,640379.7,613992.55
AST-0256,Generator,LATAM,2026-01-30,118835.3,113782.36
AST-0257,Fleet Truck,LATAM,2019-02-28,802134.66,323578.92
AST-0258,Excavator,LATAM,2020-03-17,82168.95,40044.42
AST-0259,Generator,North America,2020-08-07,628335.83,325908.33
AST-0260,Excavator,APAC,2025-08-11,91257.95,83937.31
AST-0261,Delivery Van,LATAM,2025-03-20,496166.23,440704.36
AST-0262,Fleet Truck,APAC,2025-03-16,448334.81,397826.52
AST-0263,Office Fitout,LATAM,2021-05-20,166543.44,96823.34
AST-0264,Fleet Truck,APAC,2019-10-18,824161.12,374372.37
AST-0265,Server Rack,North America,2024-11-11,355970.66,306115.26
AST-0266,Server Rack,LATAM,2023-11-20,731207.13,571583.61
AST-0267,Generator,LATAM,2023-03-14,594217.52,431808.92
AST-0268,Excavator,LATAM,2026-01-06,694327.64,661152.09
AST-0269,Generator,APAC,2023-07-08,88529.93,66584.21
AST-0270,Office Fitout,Middle East,2018-09-02,111794.54,40711.59
AST-0271,Excavator,Middle East,2024-09-27,703814.21,598299.93
AST-0272,Excavator,EMEA,2020-11-08,400750.25,216031.83
AST-0273,Fleet Truck,LATAM,2023-08-03,447896.89,339419.94
AST-0274,Crane,APAC,2025-08-26,649592.1,599618.0
AST-0275,Generator,LATAM,2019-08-14,473598.4,208383.3
AST-0276,Fleet Truck,North America,2019-06-24,750506.93,321833.82
AST-0277,Crane,EMEA,2019-06-01,39105.98,16572.36
AST-0278,Excavator,Middle East,2022-10-05,274476.37,189832.37
AST-0279,Crane,North America,2020-08-26,355672.22,185962.98
AST-0280,Forklift,EMEA,2023-02-23,400308.99,289231.47
AST-0281,Generator,Middle East,2023-12-29,431143.55,340709.71
AST-0282,Office Fitout,LATAM,2020-02-20,604018.71,290921.89
AST-0283,Crane,LATAM,2023-05-15,833504.27,617021.52
AST-0284,Office Fitout,EMEA,2020-08-04,475306.34,246221.71
AST-0285,Delivery Van,North America,2022-04-11,784759.91,512308.47
AST-0286,Office Fitout,APAC,2025-05-26,245666.58,221813.36
AST-0287,Generator,North America,2024-12-15,795097.41,689665.32
AST-0288,Generator,Middle East,2019-04-21,251170.55,104184.17
AST-0289,Fleet Truck,EMEA,2021-10-15,499236.03,306435.18
AST-0290,Fleet Truck,APAC,2020-09-07,387867.07,203816.18
AST-0291,Office Fitout,LATAM,2018-08-21,292587.36,105780.35
AST-0292,Crane,EMEA,2024-05-24,793931.63,652981.58
AST-0293,Crane,LATAM,2023-05-23,492451.03,365412.16
AST-0294,Fleet Truck,LATAM,2020-07-29,51445.49,26582.52
AST-0295,Delivery Van,LATAM,2024-03-03,337375.76,271416.49
AST-0296,Delivery Van,Middle East,2022-10-01,820628.41,566840.64
AST-0297,Server Rack,North America,2021-10-26,821070.25,505959.23
AST-0298,Fleet Truck,North America,2018-09-07,744948.96,272100.26
AST-0299,Fleet Truck,North America,2019-03-06,454169.16,183807.86
AST-0300,Office Fitout,EMEA,2025-03-26,618240.6,549946.19
AST-0301,Generator,APAC,2025-05-22,77481.59,69890.52
AST-0302,Office Fitout,North America,2022-09-14,535421.6,367841.97
AST-0303,Office Fitout,APAC,2024-11-13,726224.02,624831.21
AST-0304,Fleet Truck,Middle East,2022-12-24,538377.31,381790.64
AST-0305,Forklift,EMEA,2019-09-21,44975.75,20163.92
AST-0306,Generator,EMEA,2019-07-27,542019.45,236350.18
AST-0307,Office Fitout,North America,2020-12-03,638549.92,347721.05
AST-0308,Forklift,LATAM,2025-05-09,649908.69,584383.65
AST-0309,Generator,North America,2024-07-31,153914.6,128883.45
AST-0310,Excavator,APAC,2025-01-24,53402.46,46789.33
AST-0311,Office Fitout,EMEA,2025-05-09,314316.89,282626.86
AST-0312,Office Fitout,Middle East,2020-03-09,218904.86,106297.8
AST-0313,Delivery Van,EMEA,2020-06-25,584303.31,297562.46
AST-0314,Office Fitout,Middle East,2019-05-20,161182.91,67882.29
AST-0315,Fleet Truck,Middle East,2024-06-17,585417.37,484565.19
AST-0316,Fleet Truck,APAC,2025-03-29,134503.3,119733.73
AST-0317,Excavator,LATAM,2021-08-29,398741.37,240643.15
AST-0318,Delivery Van,North America,2023-04-07,767509.87,561775.17
AST-0319,Server Rack,Middle East,2019-10-09,383844.37,173602.82
AST-0320,Office Fitout,APAC,2025-08-01,264793.8,242971.89
AST-0321,Generator,EMEA,2025-02-04,396457.9,348318.14
AST-0322,Fleet Truck,North America,2025-12-06,849476.93,803116.44
AST-0323,Server Rack,Middle East,2024-09-09,213066.76,180283.67
AST-0324,Generator,North America,2025-03-22,262053.45,232875.77
AST-0325,Office Fitout,APAC,2018-10-18,831583.64,311217.33
AST-0326,Excavator,Middle East,2024-02-19,21761.8,17445.21
AST-0327,Generator,EMEA,2021-02-06,637218.75,356074.35
AST-0328,Server Rack,EMEA,2025-08-04,521899.27,479232.22
AST-0329,Generator,EMEA,2024-08-17,546575.93,459722.77
AST-0330,Excavator,APAC,2025-02-02,539587.17,473831.45
AST-0331,Excavator,Middle East,2024-09-09,673489.75,569864.59
AST-0332,Delivery Van,North America,2020-08-11,319659.13,166082.62
AST-0333,Server Rack,LATAM,2024-07-07,774539.22,644501.51
AST-0334,Delivery Van,Middle East,2019-06-04,161659.46,68614.48
AST-0335,Server Rack,Middle East,2025-02-24,746844.6,659433.09
AST-0336,Generator,EMEA,2025-01-18,433998.63,379683.4
AST-0337,Fleet Truck,APAC,2020-04-12,229570.02,113187.45
AST-0338,Server Rack,North America,2024-09-25,638377.06,542393.13
AST-0339,Forklift,EMEA,2022-01-23,406056.71,258140.82
AST-0340,Crane,LATAM,2020-11-24,644716.5,349807.28
AST-0341,Server Rack,North America,2024-07-29,822670.24,688518.64
AST-0342,Excavator,APAC,2020-04-26,675219.44,334982.84
AST-0343,Fleet Truck,APAC,2018-10-15,463037.88,172985.88
AST-0344,Generator,Middle East,2020-01-22,576811.7,274151.49
AST-0345,Server Rack,North America,2021-01-27,333156.29,185435.7
AST-0346,Fleet Truck,North America,2025-02-03,578488.52,508118.96
AST-0347,Server Rack,Middle East,2025-11-11,532321.63,500353.16
AST-0348,Forklift,LATAM,2020-09-14,199841.61,105319.27
AST-0349,Generator,LATAM,2023-06-04,774338.68,576617.13
AST-0350,Excavator,North America,2021-08-10,112424.41,67380.72
AST-0351,Fleet Truck,North America,2025-12-20,269144.43,255281.65
AST-0352,Delivery Van,LATAM,2022-08-19,96155.32,65512.07
AST-0353,Office Fitout,Middle East,2025-08-27,393792.54,363583.8
AST-0354,Delivery Van,LATAM,2019-06-23,634794.63,272074.72
AST-0355,Fleet Truck,Middle East,2025-11-20,561859.78,529225.73
AST-0356,Generator,North America,2019-12-14,355776.76,166055.15
AST-0357,Crane,LATAM,2025-10-30,591384.35,554313.46
AST-0358,Crane,APAC,2020-08-08,386321.04,200463.58
AST-0359,Server Rack,Middle East,2019-06-04,97961.11,41578.45
AST-0360,Server Rack,North America,2021-11-14,767916.34,476402.67
AST-0361,Crane,North America,2024-01-28,347446.6,276853.07
AST-0362,Fleet Truck,North America,2020-12-18,807424.01,442335.63
AST-0363,Excavator,North America,2023-02-27,568411.9,411187.61
AST-0364,Crane,EMEA,2022-06-12,671973.48,447810.49
AST-0365,Crane,North America,2021-07-02,672126.71,397088.78
AST-0366,Crane,Middle East,2022-12-08,707897.89,499523.78
AST-0367,Crane,APAC,2020-07-09,195319.38,100067.74
AST-0368,Excavator,APAC,2023-12-05,661597.76,519345.18
AST-0369,Delivery Van,EMEA,2018-08-16,731769.12,263757.66
AST-0370,Delivery Van,North America,2025-07-21,466079.91,426546.12
AST-0371,Excavator,EMEA,2022-08-25,566983.13,387039.77
AST-0372,Crane,Middle East,2024-01-03,27408.37,21689.41
AST-0373,Delivery Van,APAC,2024-03-05,285349.17,229686.54
AST-0374,Office Fitout,Middle East,2023-08-22,58753.18,44768.31
AST-0375,Forklift,LATAM,2021-05-05,109897.17,63529.6
AST-0376,Server Rack,Middle East,2019-02-19,389309.8,156278.55
AST-0377,Fleet Truck,Middle East,2023-08-05,510711.12,387244.96
AST-0378,Excavator,Middle East,2021-02-01,199994.05,111536.41
AST-0379,Excavator,North America,2020-12-18,266861.32,146196.14
AST-0380,Office Fitout,LATAM,2024-12-20,848819.94,737194.3
AST-0381,Fleet Truck,LATAM,2024-01-04,587891.41,465352.29
AST-0382,Forklift,APAC,2020-11-11,76364.75,41216.04
AST-0383,Forklift,EMEA,2020-12-06,522928.35,285103.4
AST-0384,Server Rack,LATAM,2021-09-03,244638.36,147909.02
AST-0385,Generator,LATAM,2021-08-18,845514.18,508235.1
AST-0386,Office Fitout,North America,2020-10-29,437135.15,234687.68
AST-0387,Forklift,Middle East,2019-07-26,677235.24,295163.24
AST-0388,Crane,LATAM,2021-10-06,616901.33,377442.21
AST-0389,Crane,LATAM,2025-08-30,392048.35,362231.19
AST-0390,Fleet Truck,LATAM,2023-09-10,298007.9,228314.87
AST-0391,Forklift,APAC,2025-05-19,362351.36,326612.6
AST-0392,Generator,APAC,2023-03-24,371347.95,270666.87
AST-0393,Fleet Truck,North America,2020-11-13,811249.75,438208.22
AST-0394,Forklift,North America,2022-09-20,91172.7,62756.79
AST-0395,Server Rack,EMEA,2018-08-13,375616.89,135139.75
AST-0396,Server Rack,North America,2020-10-05,479569.56,254947.06
AST-0397,Office Fitout,North America,2021-11-01,358025.21,221092.83
AST-0398,Generator,APAC,2022-12-17,823612.85,582801.99
AST-0399,Crane,EMEA,2023-07-10,101506.47,76388.49
AST-0400,Crane,North America,2022-02-05,563374.81,359757.26
AST-0401,Server Rack,North America,2021-12-05,307345.19,192086.53
AST-0402,Crane,LATAM,2020-03-19,651775.7,317923.69
AST-0403,Excavator,Middle East,2022-02-28,720704.56,463857.3
AST-0404,Generator,North America,2025-05-15,790785.38,712096.82
AST-0405,Generator,APAC,2024-07-31,165647.42,138708.16
AST-0406,Delivery Van,EMEA,2019-11-19,308104.56,142116.39
AST-0407,Office Fitout,North America,2019-04-01,487878.11,200230.52
AST-0408,Excavator,North America,2022-06-23,133465.34,89264.54
AST-0409,Crane,LATAM,2023-05-11,638003.32,471737.91
AST-0410,Server Rack,EMEA,2021-02-15,365560.13,204994.1
AST-0411,Server Rack,Middle East,2024-09-30,323994.33,275634.85
AST-0412,Excavator,EMEA,2024-03-30,512846.85,415616.71
AST-0413,Excavator,North America,2023-08-28,146437.26,111773.76
AST-0414,Office Fitout,LATAM,2020-04-18,242205.87,119735.96
AST-0415,Office Fitout,APAC,2020-02-08,521908.47,250001.31
AST-0416,Forklift,APAC,2018-10-17,195000.09,72935.38
AST-0417,Generator,Middle East,2020-06-12,373977.88,189386.5
AST-0418,Generator,North America,2022-03-05,421338.35,271642.03
AST-0419,Excavator,North America,2024-12-25,199132.89,173163.78
AST-0420,Crane,EMEA,2019-02-27,185693.31,74867.47
AST-0421,Generator,APAC,2021-09-20,653074.35,397283.91
AST-0422,Fleet Truck,LATAM,2023-05-02,115186.93,84941.68
